ScreenName	FieldName	DefaultText	NewText	HeaderHeight	HeaderWidth	ValueHeight	ValueWidth	HAlignment	HForeColor	HBackColor	VForeColor	VBackColor	VAlignment	HFont	HFontSize	HFontStyle	VFont	VFontSize	VFontStyle	DisplayNo	HForeColorName	HBackColorName	VForeColorName	VBackColorName	DataMember	IsHidden	Language	DefaultValue	Visible	SolutionName	ts	FieldControl	ShowBorder	BorderColor	DataMemberType	LineIndex	AccessLevel
NewCustomer	StockTakeRequired	Stock Take	Stock Take	31	50	31	50	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	9	White	Red	White	Red	StockTakeRequired	NULL	English		NULL	SALES	0x0000000000000B7E	LABEL	NULL	-16777216	STRING	NULL	NULL
NewCustomer	Merchandising	Merchandize	Merchandize	31	50	31	50	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	10	White	Red	White	Red	Merchandising	NULL	English		NULL	SALES	0x0000000000000B7F	LABEL	NULL	-16777216	STRING	NULL	NULL
NewCustomer	RoutePattern	Visit Pattern	Visit Pattern	31	50	31	50	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	11	White	Red	White	Red	RoutePattern	NULL	English		NULL	SALES	0x0000000000000B80	LABEL	NULL	-16777216	STRING	NULL	NULL
NewCustomer	BillAdd4	Bill Address4	Bill Address4	31	50	31	50	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	15	White	Red	White	Red	BillAdd4	NULL	English		NULL	SALES	0x0000000000000B81	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
NewCustomer	BillPin	Bill Pin	Bill Postal Code	31	25	31	25	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	16.1	White	Red	White	Red	BillPin	NULL	English		NULL	SALES	0x0000000000000B82	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
FormStatus	sTitle1	SALES STATUS	SALES STATUS	60	100	60	0	0	-1	-14737633	-16777216	-78999	2	Tahoma	16	0	Tahoma	22	0	0	White	Red	White	Red	sTitle1	NULL	English		NULL	SALES	0x0000000000000BE7	LABEL	NULL	-16777216	STRING	0	NULL
SalesStatus	sLine			30	100	30	0	2	-16777216	-78999	-16777216	-78999	2	Tahoma	16	0	Tahoma	18	0	1	White	Red	White	Red	sLine	NULL	English		NULL	SALES	0x0000000000000B9B	LINE	NULL	-16777216	STRING	1	NULL
SalesStatus	sCurrentDay	Monday	Monday	50	15	50	18	2	-1	-5891815	-1	-5891815	2	Tahoma	16	0	Tahoma	18	0	2.1	White	Red	White	Red	sCurrentDay	NULL	English		NULL	SALES	0x0000000000000B9C	TEXTBOX	NULL	-16777216	STRING	2	NULL
SalesStatus	sDay	Act/Tgt/Sisa Barang	Act/Tgt	50	15	50	18	2	-1	-5891815	-16777216	-78999	2	Tahoma	16	0	Tahoma	18	0	2.2	White	Red	White	Red	sDay	NULL	English		NULL	SALES	0x0000000000000B9D	TEXTBOX	NULL	-16777216	STRING	2	NULL
SalesStatus	sDay	Act vs Tgt	Act vs Tgt	50	15	35	18	2	-1	-5891815	-16777216	-78999	2	Tahoma	16	0	Tahoma	18	0	2.3	White	Red	White	Red	sDay	NULL	English		NULL	SALES	0x0000000000000B9E	TEXTBOX	NULL	-16777216	STRING	2	NULL
SalesStatus	sBlank	sBlank	Blank	35	15	35	18	2	-1	-14737633	-1	-14737633	2	Tahoma	16	0	Tahoma	18	0	3.1	White	Red	White	Red	sBlank	NULL	English		NULL	SALES	0x0000000000000B9F	TEXTBOX	NULL	-16777216	STRING	3	NULL
SalesStatus	sActTgt		ActTgt	35	15	35	18	2	-1	-14737633	-1	-14737633	2	Tahoma	16	0	Tahoma	18	0	3.2	White	Red	White	Red	sActTgt	NULL	English		NULL	SALES	0x0000000000000BA0	TEXTBOX	NULL	-16777216	NUMBERFORMAT	3	NULL
SalesStatus	sActvsTgt		ActvsTgt	35	15	35	18	2	-1	-14737633	-1	-14737633	2	Tahoma	16	0	Tahoma	18	0	3.3	White	Red	White	Red	sActvsTgt	NULL	English		NULL	SALES	0x0000000000000BA1	TEXTBOX	NULL	-16777216	STRING	3	NULL
SalesStatus	sTitle		Title	35	25	35	25	2	-1	-14737633	-1	-14737633	2	Tahoma	16	0	Tahoma	18	0	4.1	White	Red	White	Red	sTitle	NULL	English	LINE1	NULL	SALES	0x0000000000000BA2	TEXTBOX	NULL	-16777216	STRING	4	NULL
SalesStatus	sActvsTgtVal	Act / Tgt	Act / Tgt	35	25	35	25	2	-1	-14737633	-1	-14737633	2	Tahoma	16	0	Tahoma	18	0	4.2	White	Red	White	Red	sActvsTgtVal	NULL	English	LINE1	NULL	SALES	0x0000000000000BA3	COMBOBOX	NULL	-16777216	STRING	4	NULL
NewCustomer	Title	 TITLE	NEW CUSTOMER	80	100	31	0	0	-1	-14737633	-1	-14737633	0	Tahoma	24	100	Tahoma	16	0	0	White	Red	White	Red	Title	NULL	English		NULL	SALES	0x0000000000000BA4	LABEL	NULL	-16777216	STRING	0	NULL
NewCustomer	Line		Line	10	100	10	0	0	0	-14737633	-1	-14737633	0	Tahoma	16	0	Tahoma	18	0	1	White	Red	White	Red		NULL	English		NULL	SALES	0x0000000000000BA5	LINE	NULL	-16777216	STRING	1	NULL
NewCustomer	CustomerName	Name	Company	31	50	31	50	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	2	White	Red	White	Red	CustomerName	NULL	English		NULL	SALES	0x0000000000000BA6	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
NewCustomer	Nickname	Nick Name	Nick Name	31	50	31	50	2	-1	-14737633	-14737633	-1	2	Tahoma	16	0	Tahoma	18	0	3	White	Red	White	Red	Nickname	NULL	English		NULL	SALES	0x0000000000000BA7	TEXTBOX	NULL	-16777216	STRING	NULL	NULL
